"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786328517342613782","Fri May 03 15:57:18 +0000 2024","0","@gghhjjkk580dr0 @cakimiNOW @DPP_PKB @Gerindra @golkar_id @psi_id @Official_PAN @pro_prabowo08 @Alie_Fahnoor @syahputra2019 Ya juga yak cak imin sudah menistakan agama","1786424803731394673","","gghhjjkk580dr0","in","","0","0","0","https://x.com/faizalnana/status/1786424803731394673","942834030","faizalnana"
"1786423504952516637","Fri May 03 15:52:08 +0000 2024","0","Nasdem dan Golkar Magetan Kompak Koalisi Siapa Diusung dalam Pilkada?. Partai Nasional Demokrat (Nasdem) Magetan dan Partai Golongan Karya (Golkar) Magetan kompak berkoalisi untuk https://t.co/psygSbKakh #PolitikPemerintahan #Magetan #Nasdem #pilkada via @beritajatimcom","1786423504952516637","","","in","Surabaya","0","0","0","https://x.com/beritajatimcom/status/1786423504952516637","21287066","beritajatimcom"
"1786401944090943975","Fri May 03 15:32:11 +0000 2024","0","@ynhcgm Untung baju kuning itu tulisannya WET doang. Coba kalau tulisannya Partai Golkar Mengabdi Untuk Rakyat curiga nyagub di DKI dia ","1786418486396502079","","ynhcgm","in","","0","1","0","https://x.com/uknowonshik/status/1786418486396502079","1115179751243575297","uknowonshik"
"1786396790964842709","Fri May 03 15:11:54 +0000 2024","0","@tokomcdura Golkar","1786413379227353232","","tokomcdura","in","","0","1","0","https://x.com/petalpurrer/status/1786413379227353232","1400815892338937861","petalpurrer"
"1786333851134115906","Fri May 03 15:07:06 +0000 2024","0","@bdjkdkdgnd @haliday0147 @aniesbaswedan @cakimiNOW @Gerindra @golkar_id @psi_id @Official_PAN @florieliciouss @Far_Rida_ @ddiittanyaaja Mengkritik penuh kebencian begitu?","1786412172324835636","","bdjkdkdgnd","in","","0","0","0","https://x.com/benhogge7/status/1786412172324835636","1727485561","benhogge7"
"1786333626143211752","Fri May 03 15:06:53 +0000 2024","0","@bdjkdkdgnd @GlowTryz @cakimiNOW @jokowi @gibran_tweet @Gerindra @golkar_id @psi_id @Official_PAN @jenny_kof @Kalasuba2021 @StefanAntonio__ Malas debat karena sudah menang","1786412118939664603","","bdjkdkdgnd","in","","0","0","0","https://x.com/benhogge7/status/1786412118939664603","1727485561","benhogge7"
"1786333384534573245","Fri May 03 15:06:39 +0000 2024","0","@bdjkdkdgnd @GwynxAsh @cakimiNOW @Gerindra @golkar_id @psi_id @Official_PAN @04_zainal @mimih6mei @sydneyzw Ttp harus ada oposisi","1786412057325388056","","bdjkdkdgnd","in","","0","0","0","https://x.com/benhogge7/status/1786412057325388056","1727485561","benhogge7"
"1786332987556323699","Fri May 03 15:06:23 +0000 2024","0","@bdjkdkdgnd @gvfftj @cakimiNOW @Gerindra @golkar_id @psi_id @Official_PAN @__AnakKolong @BosPurwa @03__nakula Loh kan KPU dan MK sudah menetapkan kalau Pak Prabowo presiden Indonesia 2024 - 2029","1786411992007540771","","bdjkdkdgnd","in","","0","0","0","https://x.com/benhogge7/status/1786411992007540771","1727485561","benhogge7"
"1786331548192776548","Fri May 03 15:05:49 +0000 2024","0","@bdjkdkdgnd @GlowTryz @cakimiNOW @jokowi @gibran_tweet @Gerindra @golkar_id @psi_id @Official_PAN @MuhiqR @NyaiiBubu Kebebasan berekspresi yg kebablasan","1786411847853527551","","bdjkdkdgnd","in","","0","0","0","https://x.com/benhogge7/status/1786411847853527551","1727485561","benhogge7"
"1786411420084797531","Fri May 03 15:04:07 +0000 2024","2","Ahmed Zaki Iskandar Nyatakan Partai Golkar Siap Koalisi Dengan PKS di Pilgub Jakarta https://t.co/8phIbyrvuq #ahmedzakiiskandar #Golkarpedia #partaigolkar #pilkada2024 #golkaronsosmed https://t.co/NvYSuO7K0f","1786411420084797531","https://pbs.twimg.com/ext_tw_video_thumb/1786411404117032960/pu/img/dRYQ3NlA8D8im6vN.jpg","","in","","0","0","4","https://x.com/squadgolkar/status/1786411420084797531","1593171387057049600","squadgolkar"
