"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774779311364677640","Mon Apr 01 12:42:16 +0000 2024","0","Gerindra Terbuka Jika PDIP Gabung Koalisi Pemerintahan Prabowo-Gibran https://t.co/gFWGz0DyFi","1774779311364677640","","","in","Jakarta, Indonesia","0","0","0","https://x.com/lawjusticeco/status/1774779311364677640","567966875","lawjusticeco"
"1774778760778420721","Mon Apr 01 12:40:05 +0000 2024","2","Kata Sekjen PDIP Soal Pilkada 2024 dari Arahan Megawati hingga Opsi Koalisi dengan Gerindra dan Golkar https://t.co/hzRjh7LSrY #TempoNasional","1774778760778420721","","","in","Indonesia","0","0","1","https://x.com/tempodotco/status/1774778760778420721","18129942","tempodotco"
"1774070400697483446","Mon Apr 01 12:31:21 +0000 2024","0","@ZulkifliLubis69 @KPU_ID @bawaslu_RI @officialMKRI Yg penting dah terima DP milyaran dri @Gerindra urusan malu ga peduli","1774776566951916030","","ZulkifliLubis69","in","indonesia raya","0","0","0","https://x.com/ottttoedy/status/1774776566951916030","2345017333","ottttoedy"
"1774775556606931264","Mon Apr 01 12:27:21 +0000 2024","7","Si oyen blum dapet THR MIN @Gerindra https://t.co/hP3ZTfR6NS","1774775556606931264","https://pbs.twimg.com/ext_tw_video_thumb/1774775503100207104/pu/img/FSCoknzT5hANzHWE.jpg","","in","Lebanon, TN","0","1","0","https://x.com/FaulHokcay/status/1774775556606931264","1218946274080116736","FaulHokcay"
"1774663008649908250","Mon Apr 01 12:26:18 +0000 2024","0","@tanyakanrl Eh jd kek admin gerindra omg","1774775294026727868","","tanyakanrl","in","Out of Space","0","0","0","https://x.com/rosedlune/status/1774775294026727868","4727254080","rosedlune"
"1772861028532961470","Mon Apr 01 12:09:34 +0000 2024","0","@AzamFiqri1 @Fraksi_Gerindra Ini momen paling memalukan sekelas emperankah kalian??","1774771082056343943","","AzamFiqri1","in","","0","0","0","https://x.com/KoiYosep/status/1774771082056343943","1451570679409639425","KoiYosep"
"1772861028532961470","Mon Apr 01 12:07:15 +0000 2024","0","@Fraksi_Gerindra Terbanyak pemilih goibnya","1774770498645450839","","Fraksi_Gerindra","in","","0","0","0","https://x.com/KoiYosep/status/1774770498645450839","1451570679409639425","KoiYosep"
"1774753697991659902","Mon Apr 01 12:03:02 +0000 2024","0","@Gerindra min kira2 bisa nebak password wifi @INFOBNN ngga? mau nugas gada kuota wkwkwkwkwkkww boleh kan minjem wifi bentar makasih minn https://t.co/kaiM6Fg3l0","1774769437423645101","https://pbs.twimg.com/media/GKE_ZAmacAARJx0.jpg","Gerindra","in","Dubai, United Arab Emirates","0","0","0","https://x.com/mba2gemini/status/1774769437423645101","1327237390914658304","mba2gemini"
"1774753697991659902","Mon Apr 01 11:52:35 +0000 2024","0","@Gerindra Mau jaket Gerindra dong min","1774766807460749478","","Gerindra","in","Kediri, and Surabaya","0","0","0","https://x.com/bejo_olaolo/status/1774766807460749478","543161135","bejo_olaolo"
"1774766158031544583","Mon Apr 01 11:50:00 +0000 2024","2","Hasto Bicara Peluang PDIP-Gerindra Usung Khofifah di Pilgub Jatim Hasto memandang kerja sama politik dengan parpol lain dalam kontestasi pilkada merupakan hal yang lumrah. &gt;&gt; https://t.co/Sr0E72K79N #detikPemilu","1774766158031544583","","","in","","1","0","0","https://x.com/detikcom/status/1774766158031544583","69183155","detikcom"
"1774765410371645926","Mon Apr 01 11:47:02 +0000 2024","1","Kalau @aniesbaswedan bikin partai saya harap ia tidak diurus seperti Nasdem Demokrat dan Gerindra. Partai itu ide bukan kepemilikan. Pengurus dipilih bukan main tunjuk. Khalas.","1774765410371645926","","","in","Paiton Probolinggo Jawa Timur","0","0","0","https://x.com/AhmadSahidah/status/1774765410371645926","138331907","AhmadSahidah"
"1774684237826032058","Mon Apr 01 11:46:29 +0000 2024","0","@Projo_Pusat @prabowo @gibran_tweet @Cakrawala_nst @Gerindra @budimuni98 @RcyberProj0 @handoko2411 @FALDA81 Menurut UU No.2 /2008 sarana partisipasi politik sarana penyerapan penghimpun &amp; penyalur aspirasi politik masyarakat adalah : Partai Politik. Presiden itu sudah disumpah utk taat &amp; berada dalam koridor konstitusi koq malah musra musra gak jelas gitu. bikin partai dong !","1774765274048438407","","Projo_Pusat","in","Indonesia","0","0","0","https://x.com/Gunalo5252621/status/1774765274048438407","1726981774407028736","Gunalo5252621"
"1774693706987401219","Mon Apr 01 11:37:56 +0000 2024","33","@Miduk17 Gerindra udah sombong bakal tetep menang tanpa Gibran Dia gak inget apa yg udah Bu Mega katakan sampai pakde owi se sakit hati ini ","1774763123653877952","","Miduk17","in","","0","2","1","https://x.com/AlinaWinner_/status/1774763123653877952","1613027320474001410","AlinaWinner_"
"1774615125225566365","Mon Apr 01 11:37:12 +0000 2024","0","@ruhutsitompul Elu aja ga kepake sama 03. Itu berarti elu ga dilihat. Btw besok prabowo jadi presiden. Lomcat ke gerindra ga ?","1774762939070943551","","ruhutsitompul","in","Banyuwangi, Indonesia","0","0","0","https://x.com/IRAWAN_ARI/status/1774762939070943551","69513546","IRAWAN_ARI"
"1774714763349749972","Mon Apr 01 11:31:30 +0000 2024","0","@ariana_gerindra Izin daftarin ma sigma man Maher Jen PKB https://t.co/PTCicls101","1774761504241270813","https://pbs.twimg.com/media/GKE4KBSWQAAsm-8.jpg","ariana_gerindra","in","Sumeru","0","0","0","https://x.com/agent_lycaon/status/1774761504241270813","1239970236595494912","agent_lycaon"
"1774757800738242954","Mon Apr 01 11:16:47 +0000 2024","0","50 Nama Anggota DPRD Kota Palembang Periode 2024 Gerindra Berkuasa Cek Calegnya yang Lolos https://t.co/xwWaMmlDk8 via @tribunnews","1774757800738242954","","","in","Medan, Indonesia","0","0","0","https://x.com/tribunmedan/status/1774757800738242954","142305302","tribunmedan"
